"Date","Domestic_Passengers","International_Passengers"
"01/01/2017","          61.21","           8.92"
"02/01/2017","          61.01","           8.81"
"03/01/2017","          60.98","           8.77"
"04/01/2017","          61.20","           9.14"
"05/01/2017","          61.64","           9.06"
"06/01/2017","          61.30","           9.02"
"07/01/2017","          62.04","           9.07"
"08/01/2017","          62.08","           9.08"
"09/01/2017","          60.85","           8.60"
"10/01/2017","          62.98","           9.02"
"11/01/2017","          63.23","           9.05"
"12/01/2017","          63.22","           9.10"
"01/01/2018","          63.38","           9.09"
"02/01/2018","          64.56","           9.20"
"03/01/2018","          63.93","           9.18"
"04/01/2018","          64.59","           9.23"
"05/01/2018","          64.53","           9.21"
"06/01/2018","          65.18","           9.26"
"07/01/2018","          65.09","           9.29"
"08/01/2018","          65.01","           9.26"
"09/01/2018","          64.79","           9.14"
"10/01/2018","          65.60","           9.47"
"11/01/2018","          65.44","           9.41"
"12/01/2018","          66.32","           9.47"
"01/01/2019","          65.56","           9.48"
"02/01/2019","          66.42","           9.51"
"03/01/2019","          67.54","           9.58"
"04/01/2019","          67.06","           9.57"
"05/01/2019","          67.28","           9.64"
"06/01/2019","          67.68","           9.63"
"07/01/2019","          67.70","           9.58"
"08/01/2019","          67.93","           9.56"
"09/01/2019","          68.31","           9.65"
"10/01/2019","          68.02","           9.73"
"11/01/2019","          69.29","           9.76"
"12/01/2019","          68.95","           9.73"
"01/01/2020","          69.84","           9.81"
"02/01/2020","          69.51","           9.20"
"03/01/2020","          33.21","           4.52"
"04/01/2020","           2.86","           0.13"
"05/01/2020","           7.83","           0.18"
"06/01/2020","          15.06","           0.35"
"07/01/2020","          20.27","           0.92"
"08/01/2020","          22.55","           1.20"
"09/01/2020","          25.52","           1.58"
"10/01/2020","            .","            ."
"11/01/2020","            .","            ."
"12/01/2020","            .","            ."
